Bounce-Back,26,35,1,1,1.23,20,15,1
Impressive-Flash,28,30,2,1,1.35,14,10,1
Cancelo,27,30,3,2,1.16,26,22,1
Bernardo,26,36,4,1,1.27,17,11,1
Thermo-Crisis,32,36,2,3,1.41,18,13,1
Plasma-Strike,27,15,3,1,1.2,16,13,1
Stealth-Support,25,40,4,3,1.51,38,32,1
felix,29,25,2,1,1.3,19,16,1
Final-Warning,28,15,1,2,1.13,22,19,2
Run-and-Gun,27,20,1,5,1.36,37,31,2
Blaze,29,20,2,2,1.26,19,11,2
Sniper-Support,36,26,2,4,1.41,39,30,2
Voltage-Scrambler,31,20,5,1,1.23,45,31,2
Pepe,25,45,1,1,1.34,31,24,2
Ruben-Dias,25,40,5,2,1.28,28,20,2
Pereira,27,35,5,1,1.47,19,10,2
Harry-Kane,26,36,4,2,1.53,17,9,3
Ronaldo,30,27,3,2,1.37,29,19,3
Side-Winder,28,19,1,1,1.19,24,18,3
Macro-Scope,35,21,1,1,1.09,34,23,3
Tracker-Laser,29,30,1,2,1.31,25,19,3
Fernandes,26,36,2,2,1.34,31,23,3
Falling-Venom,31,24,4,1,1.17,17,11,3
Raphael,29,28,2,1,1.25,23,16,3
Hidden-Shot,27,30,1,2,1.39,25,17,4
Sub-Zero,33,36,2,4,1.14,49,34,4
Baraka,26,36,4,1,1.19,36,25,4
Mbappe,30,40,4,2,1.37,32,24,4
Jota,27,35,2,4,1.45,35,26,4
Palhinha,27,30,3,2,1.19,24,19,4
Batman,40,42,2,2,1.41,35,31,4
